"Expression & Usage","Chinese Sense","Collocations / Patterns / Examples","Type","Notes"
"hazard（正式，指已知危害源）","危险","pose a hazard to；pose a potential hazard to；The overuse of AI translation tools poses a potential hazard to students' independent writing skills.","Problem & Solution,Data & Chart",""
"risk（正式，侧重可能性）","危险","carry a risk of；at the risk of；pose a risk to；Skipping sleep before an exam carries a risk of poor performance.","Problem & Solution,Data & Chart","例句为补充示例"
"danger（通用）","危险","in danger of；be a danger to；Many teenagers are in danger of losing the ability to think independently.","Problem & Solution,Data & Chart","例句为补充示例"
"people from needy backgrounds（委婉正式）","贫困","give up on people from needy backgrounds；make a difference to people from needy backgrounds；We should not give up on people from needy backgrounds, for our action may make a real difference.","Problem & Solution,Phenomenon & Attitude",""
"poor people（直白）","贫困","give up on poor people；make a difference to poor people；We should not give up on poor people, for our action may make a real difference.","Problem & Solution,Phenomenon & Attitude","例句由原句改写；正式文体优先用 people from needy backgrounds"
"hinder（常用，指延缓）","阻碍","hinder sb from doing sth；Lack of face-to-face communication hinders teenagers from developing empathy.","Problem & Solution,Phenomenon & Attitude",""
"impede（正式，指停滞）","阻碍","impede progress；impede the development of；Heavy traffic impedes the progress of the whole city.","Problem & Solution,Phenomenon & Attitude","例句为补充示例"
"block（形象，指堵死）","阻碍","block the way；block one's view；Prejudice blocks the way to real understanding.","Problem & Solution,Phenomenon & Attitude","例句为补充示例"
"prevent...from（通用）","阻碍","prevent sb from doing sth；Fear of failure prevents many students from trying new things.","Problem & Solution,Phenomenon & Attitude","例句为补充示例"
"remedy（侧重“弥补”措施）","解决方案","the best remedy for；The best remedy for laziness is to take the initiative and set clear goals.","Problem & Solution,Compare & Comparison",""
"solution（通用）","解决方案","a solution to；come up with a solution；Online courses may be a practical solution to the shortage of teachers.","Problem & Solution,Compare & Comparison","例句为补充示例"
"cure（比喻“根治”）","解决方案","a cure for；Education is the best cure for ignorance.","Problem & Solution,Compare & Comparison","例句为补充示例"
"delve into（书面，带“钻研”色彩）","探究","delve into books / issues；We should delve into the books to unlock the treasure of knowledge.","Quote & Enlightenment,Phenomenon & Attitude",""
"ignite（接 passion/interest）","激发","ignite one's passion；ignite interest in；Reading evokes thinking and ignites our passion for life.","Quote & Enlightenment,Phenomenon & Attitude",""
"fuel（接 debate/controversy）","激发","fuel willingness；fuel the debate；Sharing success stories fuels our willingness to keep going.","Quote & Enlightenment,Phenomenon & Attitude","例句为补充示例"
"evoke（接 thinking/memory）","激发","evoke thinking；evoke memories of；Reading evokes thinking and ignites our passion for life.","Quote & Enlightenment,Phenomenon & Attitude",""
"gist（最常用）","主旨","correspond with the gist；get the gist of；This picture corresponds with the gist of the Reading Festival.","Comic & Moral,Quote & Enlightenment",""
"goal（侧重目的）","主旨","achieve one's goal；the goal of；The goal of reading is not to finish books but to change the way we think.","Comic & Moral,Quote & Enlightenment","例句为补充示例"
"main idea（直白）","主旨","the main idea of；The main idea of the passage is that habits shape our future.","Comic & Moral,Quote & Enlightenment","例句为补充示例"
"indulge in（主动沉迷，中性偏贬）","沉湎于","indulge oneself in；indulge in sth；Many youngsters indulge in short videos, succumbing to instant pleasure.","Problem & Solution,Phenomenon & Attitude",""
"succumb to（被动屈服，带负面）","屈服于","succumb to temptation；Many youngsters indulge in short videos, succumbing to instant pleasure.","Problem & Solution,Phenomenon & Attitude",""
"succumb to（常用）","屈服于","succumb to temptation / pressure / fate；One girl just succumbs to the temptation of sweet food.","Problem & Solution,Phenomenon & Attitude",""
"yield to（较正式）","屈服于","yield to pressure；yield to temptation；A determined mind never yields to temporary pressure.","Problem & Solution,Phenomenon & Attitude","例句为补充示例"
"surrender to（形象）","屈服于","surrender to fate；Instead of surrendering to fate, she chose to fight for a second chance.","Problem & Solution,Phenomenon & Attitude","例句为补充示例"
"be at the mercy of（任由摆布）","屈服于","be at the mercy of + n.（destiny / nature / others）；If one gives up striving, he will be at the mercy of his destiny.","Problem & Solution,Phenomenon & Attitude",""
